1,We need to do something! Corona beer is helping the coronavirus spread!,Ban the sale of Corona beer which will slow the spread of infection,1,0,0,0,1,1.1
2,The company behind Corona beer is under investigation for releasing the virus as a marketing ploy,Ban the sale of Corona beer. Contribute money to the investigation. This could help find a vaccine that they may have,1,0,0,0,2,1.1
3,Facebook has conceded that they released the virus in a bid to gain world domination,Stop people from using Facebook. This could help to find a vaccine which they may have,1,0,0,0,2,1.1
4,Elon Musk is accused of releasing COVID-19 to prove that his Mars project is needed,Contribute money to help the investigation. This could help to find a vaccine that he has,1,0,0,0,2,1.1
5,Leaked files from the FBI show that COVID-19 was engineering in a secret Amazon lab to encourage people to shop online rather than on high streets,Shut down Amazon and contribute money to the investigation. This could help speed up finding a vaccine which they may have,1,0,0,0,2,1.1
6,The FBI is investigating the pharmaceutical company Johnson & Johnson as they believe that they released COVID-19 in a bid to increase their revenue streams,"Contribute money to the investigation, which may help to speed up finding a vaccine which they may have",1,0,0,0.02,2,1.1
7,People are stronger together so if we organise events with a lot of people the coronavirus will struggle to spread,Start a government-funded campaign to encourage the organisation of more events,1,0,0,0.05,5,1.1
8,Concerts increase happiness which makes people less likely to get coronavirus,Invite famous musicians to perform concerts in China to increase the happiness levels of the population,1,0,0,0.05,5,1.1
9,Researchers have shown that festivals with a lot of people overwhelm the virus and make it less infectious,Invite famous musicians to perform at festivals which will help stop the spread of the virus,1,0,0,0.05,5,1.1
10,Big sporting events are good at stopping the spread of the virus,Encourage more supporters to attend big sporting events such as the Chinese Super League games,1,0,0,0.05,5,1.1
11,Respirators are helping the virus to spread. You should act quickly to ban people from using respirators,Ban the sale of respirators to stop the spread of the virus,1,0,0,0.02,2,1.1
12,"WHO officials claim that the virus was released by a lab in Wuhan, China as a method of population control",Investigate this claim in secret and censor the news to prevent the spread of hysteria,1,0,0,0,2,1.1
13,The secretary-general of the United Nations has accused the US of planting the virus in Iran in retaliation for the missile attack on their base in January,Investigate this claim,1,0,0,0,5,1.1
14,The WHO has declared that treating infected people is counterproductive as the virus only grows stronger,Suspend all treatment of patients to prevent the virus from growing stronger,1,0,0,0.05,5,1.1
15,Researchers have found that your skin pH is affected by using hand soap which allows the virus to infect you more easily,Ban the sale of hand sanitiser,1,0,0,0.05,5,1.1
16,"Drinking a lot of water adversely affects the pH of your blood, increasing your chance of dying from coronavirus",Issue health warnings saying that the public should consume no more than 1L of water a day,1,0,0,0.05,5,1.1
17,We've found that the virus spreads through the water supply. You should take steps to mitigate this danger,Shut off the water supply,1,0,0,0.02,10,1.1
18,Radiation from your phone is increasing your chance of becoming infected,Issue a public health warning discouraging people from sleeping next to their phones,1,0,0,0,5,1.1
19,Gaming is making people more likely to be sick as it weakens their immune system,Issue a public health warning discouraging people from gaming more than a couple of hours a day,1,0,0,0,5,1.1
20,"Hospitals are only infecting more people as people with the virus are here, they're not helping!",Close the hospitals in the infected regions and move to only treating people at their house,1,0,0,0.05,10,2
21,Researchers at Imperial College London have shown that alcohol kills the virus. Consider encouraging people to drink more to help reduce the infection rates,"Launch a public health campaign to encourage people to drink more alcohol, increase imports of alcohol",1,0,0,0.02,5,1.1
22,Drinking honey and whiskey can decrease symptoms,Launch a public health campaign to encourage people to drink whiskey and honey. Increase imports of both whiskey and honey,1,0,0,0.02,2,1.1
23,Cows are immune to coronavirus. Eating beef will build peoples' immunity,Massively increase beef imports and launch a government campaign encouraging people to consume beef products,1,0,0,0,2,1.1
